feature,mutual_information_nats,support,permutation_p,bh_q
CT__UPDATE_NODE_BINARYOPERATOR_BINARYOPERATOR,0.00026290557187347297,27,0.2707292707292707,0.5539772727272727
CT__MOVE_TREE_LITERAL_INVOCATION,0.000258010861244079,72,0.23776223776223776,0.5324675324675325
CT__MOVE_TREE_INVOCATION_ASSIGNMENT,0.0002474882907439607,57,0.4195804195804196,0.7792207792207791
CT__DELETE_NODE_BINARYOPERATOR_INVOCATION,0.0002448620475599475,29,0.44655344655344653,0.8055458055458056
CT__MOVE_TREE_VARIABLEREAD_CONDITIONAL,0.0002318340719309718,11,0.5294705294705294,0.8558654460293804
CT__MOVE_TREE_FIELDREAD_INVOCATION,0.00020843197690319226,90,0.3246753246753247,0.6395120031483668
CT__MOVE_TREE_VARIABLEREAD_CONSTRUCTORCALL,0.00020325798207239398,35,0.48151848151848153,0.82365003417635
CT__DELETE_NODE_LITERAL_LOCALVARIABLE,0.0001956699696765568,13,0.5544455544455544,0.8649350649350649
CT__INSERT_NODE_LITERAL_BINARYOPERATOR,0.0001956699696765568,13,0.5324675324675324,0.8558654460293804
CT__INSERT_NODE_LITERAL_LOCALVARIABLE,0.0001956699696765568,13,0.5544455544455544,0.8649350649350649
CT__UPDATE_NODE_METHOD_CLASS,0.00018512652337007718,77,0.07992007992007992,0.23260321767784453
CT__MOVE_TREE_INVOCATION_CONSTRUCTORCALL,0.0001693862851395965,15,0.5854145854145855,0.8988649146129462
CT__MOVE_TREE_VARIABLEREAD_ASSIGNMENT,0.0001693862851395965,15,0.6273726273726273,0.9338752850203231
CT__UPDATE_NODE_INVOCATION_LOCALVARIABLE,0.0001641302591141175,116,0.17382617382617382,0.4402091415078428
CT__UPDATE_NODE_INVOCATION_IF,0.00016196546269384854,28,0.34865134865134867,0.6731387424456732
CT__MOVE_TREE_BINARYOPERATOR_BINARYOPERATOR,0.00015786964347373755,91,0.43956043956043955,0.8055458055458056
CT__DELETE_NODE_LITERAL_INVOCATION,0.00015320082208693242,68,0.5414585414585414,0.8584098828001266
CT__DELETE_NODE_CASE_SWITCH,0.00014940148247784626,17,0.5974025974025974,0.9030504379341588
CT__INSERT_NODE_CASE_SWITCH,0.00014940148247784626,17,0.5974025974025974,0.9030504379341588
CT__MOVE_TREE_VARIABLEREAD_INVOCATION,0.0001444845818251994,275,0.25774225774225773,0.5404273146208629
CT__MOVE_TREE_INVOCATION_INVOCATION,0.00014077754041730284,226,0.4565434565434565,0.8055458055458056
CT__MOVE_TREE_TYPEREFERENCE_LOCALVARIABLE,0.00012665884967842655,115,0.2947052947052947,0.5924487883250771
CT__MOVE_TREE_BINARYOPERATOR_RETURN,0.00011261051388860438,10,0.7482517482517482,1.0
CT__INSERT_NODE_LITERAL_INVOCATION,0.00011107382132589938,65,0.6173826173826173,0.926073926073926
CT__MOVE_TREE_FIELDREAD_BINARYOPERATOR,9.430047026072474e-05,27,0.6743256743256744,0.9886729811541841
CT__DELETE_NODE_UNARYOPERATOR_IF,9.375238925620963e-05,12,0.7742257742257742,1.0
CT__MOVE_TREE_INVOCATION_CONDITIONAL,9.375238925620963e-05,12,0.7632367632367633,1.0
CT__UPDATE_NODE_FIELDREAD_CONSTRUCTORCALL,9.375238925620963e-05,12,0.5054945054945055,0.8283313325330132
CT__UPDATE_NODE_INVOCATION_BINARYOPERATOR,9.162834711399365e-05,50,0.5354645354645354,0.8558654460293804
CT__MOVE_TREE_ASSIGNMENT_BLOCK,8.050869594702914e-05,91,0.19480519480519481,0.45767485526521673
CT__UPDATE_NODE_FIELDREAD_BINARYOPERATOR,8.034935400415624e-05,14,0.5014985014985015,0.8283313325330132
CT__UPDATE_NODE_INVOCATION_CONSTRUCTORCALL,8.034935400415624e-05,14,0.6343656343656343,0.9371310507674143
CT__DELETE_NODE_WRAPPER_FIELD,7.032809078318103e-05,16,0.7812187812187812,1.0
CT__INSERT_NODE_WRAPPER_FIELD,7.032809078318103e-05,16,0.7812187812187812,1.0
CT__MOVE_TREE_TRY_BLOCK,6.913826497381703e-05,37,0.45854145854145856,0.8055458055458056
CT__MOVE_TREE_IF_BLOCK,6.718383307008358e-05,164,0.4155844155844156,0.7792207792207791
CT__MOVE_TREE_LOCALVARIABLE_BLOCK,5.9477803784263594e-05,188,0.25574425574425574,0.5404273146208629
CT__UPDATE_NODE_INVOCATION_BLOCK,5.2161295266389684e-05,145,0.5054945054945055,0.8283313325330132
CT__UPDATE_NODE_INVOCATION_RETURN,5.053509213215346e-05,51,0.5664335664335665,0.8766233766233766
CT__MOVE_TREE_TYPEACCESS_THISACCESS,3.3966136239876876e-05,77,0.46653346653346656,0.8085277554304102
CT__UPDATE_NODE_BINARYOPERATOR_IF,3.3365565709313205e-05,34,0.7192807192807192,1.0
CT__UPDATE_NODE_CLASS_NEWCLASS,2.991783579955193e-05,38,0.5004995004995005,0.8283313325330132
CT__UPDATE_NODE_TYPEREFERENCE_METHOD,2.991783579955193e-05,38,0.46853146853146854,0.8085277554304102
CT__MOVE_TREE_PARAMETER_METHOD,2.7127927134988628e-05,42,0.6923076923076923,1.0
CT__UPDATE_NODE_INVOCATION_ASSIGNMENT,2.5923504948614784e-05,44,0.7992007992007992,1.0
CT__MOVE_TREE_BINARYOPERATOR_CONDITIONAL,2.547116878443695e-05,11,1.0,1.0
CT__MOVE_TREE_FOREACH_BLOCK,2.547116878443695e-05,11,1.0,1.0
CT__UPDATE_NODE_PARAMETER_CONSTRUCTOR,2.547116878443695e-05,11,1.0,1.0
CT__DELETE_NODE_RETURN_BLOCK,2.203364979230099e-05,52,0.8631368631368631,1.0
